Content Type,Video title,Video publish date,Video publish year,definition,caption,pushblishDayName,tagCount,noOfWordsInTitle,durationSecs,likeCount,commentCount,Views,View-to-Like Ratio,Comments per View,Views per Minute,dayType
Video,Last To Leave Toilet Wins $1000000 (Part 3),09-11-2022,2022,hd,TRUE,Saturday,0,8,946,1311252,48160,56438352,2.323335026,0.085332045,3579599.493,Weekend
Video,I Ordered Pizza And Tipped The House,10-11-2022,2022,hd,TRUE,Thursday,0,7,782,3350939,103805,95781685,3.498517488,0.108376669,7348978.389,Workday
Video,Last to Stop Swinging Wins $1000000 (Part 2),11-11-2022,2022,hd,TRUE,Saturday,0,8,783,1514470,81116,69562910,2.177122837,0.116608118,5330491.188,Weekend
Video,$50000 Game Of Extreme Hide And Seek - Challenge,12-11-2022,2022,hd,TRUE,Thursday,0,9,903,2294372,50224,101596696,2.258313597,0.049434678,6750611.03,Workday
Video,I Opened A FREE BANK,13-11-2022,2022,hd,TRUE,Saturday,0,5,652,2041232,91315,73035514,2.794848545,0.125028216,6721059.571,Weekend
Video,Going Around A Ferris Wheel 1000 Times Straight,14-11-2022,2022,hd,TRUE,Saturday,0,8,776,1593448,47076,62723299,2.540440355,0.07505345,4849739.613,Weekend
Video,Last To Fall Wins $1000000 (Part 1),15-11-2022,2022,hd,TRUE,Thursday,0,7,1017,2187079,53532,94932665,2.303821345,0.056389442,5600747.198,Workday
Video,Surviving 24 Hours Straight In The Bermuda Triangle,16-11-2022,2022,hd,TRUE,Saturday,0,8,701,2646549,92861,127718929,2.072166609,0.072707312,10931720.03,Weekend
Video,I Spent $100000 On Lottery Tickets And Won!,17-11-2022,2022,hd,TRUE,Thursday,0,8,910,1202862,30984,44733570,2.688947026,0.069263419,2949466.154,Workday
Video,Planting 20000000 Trees My Biggest Project Ever!,18-11-2022,2022,hd,TRUE,Friday,0,7,443,3777899,165990,70348272,5.370279742,0.235954623,9527982.664,Workday
Video,Last To Take Hand Off Boat Keeps It,19-11-2022,2022,hd,TRUE,Saturday,0,8,1008,1460251,57495,77908708,1.874310379,0.073797912,4637423.095,Weekend
